역명,경도,위도
서울,126.972533,37.55315
시청,126.975407,37.56359
종각,126.983116,37.570203
종로3가,126.992095,37.570429
종로5가,127.0019,37.570971
동대문,127.00789,37.565145
동묘앞,127.016459,37.573265
신설동,127.02471,37.576117
제기동,127.034902,37.578116
청량리,127.045063,37.580148
을지로입구,126.982569,37.565998
을지로3가,126.991773,37.566292
을지로4가,126.998122,37.566611
동대문역사문화공원,127.009083,37.565609
신당,127.019488,37.565681
상왕십리,127.028872,37.564504
왕십리,127.035505,37.561159
한양대,127.043504,37.55658
뚝섬,127.047413,37.54718
성수,127.055983,37.544628
건대입구,127.069231,37.540408
구의,127.085024,37.536857
강변,127.094684,37.535161
잠실나루,127.103836,37.520688
잠실,127.100129,37.513305
잠실새내,127.103738,37.520731
종합운동장,127.073641,37.511008
삼성,127.063203,37.508827
선릉,127.048174,37.504257
역삼,127.03643,37.500658
강남,127.027539,37.497958
교대,127.014631,37.493957
서초,127.007945,37.49191
방배,126.997627,37.481469
사당,126.981631,37.476536
낙성대,126.963783,37.47693
서울대입구,126.952745,37.481233
봉천,126.941896,37.482416
신림,126.929573,37.484216
신대방,126.913279,37.487534
구로디지털단지,126.902626,37.485005
대림,126.895293,37.492426
신도림,126.891222,37.508815
문래,126.894766,37.517993
영등포구청,126.896627,37.525766
당산,126.902011,37.533877
합정,126.914557,37.550025
홍대입구,126.923643,37.556748
신촌,126.93689,37.555153
이대,126.945897,37.556734
아현,126.956079,37.557407
충정로,126.964455,37.559742
시청,126.975271,37.563534
신설동,127.025158,37.574653
용두,127.03811,37.574012
신답,127.056348,37.56147
용답,126.977863,37.566412
도림천,126.882586,37.514759
양천구청,126.865193,37.512194
신정네거리,126.852849,37.520218
까치산,126.846706,37.53181
지축,126.912551,37.648281
구파발,126.918827,37.636612
연신내,126.920859,37.618855
불광,126.929843,37.610554
녹번,126.935758,37.600882
홍제,126.944092,37.588851
무악재,126.950131,37.582658
독립문,126.957902,37.574534
경복궁,126.973576,37.575844
안국,126.98547,37.576562
